Number of occurrences (+-),POS,Lemma,Morph,Morph corrected phonetics,Gloss,замечания (ОТВЕТ НА НЕГО ПИШИТЕ КОММЕНТАРИЕМ К ЯЧЕЙКЕ),Context,ft,Transcription,Source
1,v,älgɨn,älga-r-dɨš;a<l>ga-r-dɨš,a<l>ga-r-dɨš,<IPFV>IN.1.stay.IPFV-CVB-NO,,ila-d (breath.OBL-ATTR)      edemi (man)      čul-d-e (desert-OBL-IN.ESS)      älga-r-dɨš (1.stay.IPFV-CVB-NO)      eχir (end),Не будет же живой человек оставаться в пустыне.,Ilad edemi čulde älgardɨš eχir.,kna_said02
2,v,älgɨn,älga-r=a;a<l>ga-r=a,a<l>ga-r=a,<IPFV>IN.1.stay.IPFV-CVB=be,,mi-d (this-ATTR)      älga-r=a (1.stay.IPFV-CVB=be)      h-uʔu-na (EMPH-up-there?)       Azerbajǯan-a (Azerbajdzhan-IN.ESS)      mihman-aš-da (guest-OBL-APUD.ESS)      χal-a (house-IN.ESS)      ima (???)      или ()      ǯu-χda (self.OBL-SUB.ESS)      ha-d (that-ATTR)      lɨšan (???)      čijed (lover-ATTR)      χal-a (house-IN.ESS)      ima (???)      хотя ()      mi (this)      ǯu-χda (self.OBL-SUB.ESS)      χanimer (???)      а (be)      χal (house)      a-ni (be-CVB)      ну ()      h-uʔu-na (EMPH-up-there?)      älga-r=a (1.stay.IPFV-CVB=be)      edemi (man),"Тогда он там, за границей, оставался, либо у друга дома, либо у любимой, хотя у него были тут жена и дети.Ну там остается человек.","Mid älgara huʔuna, Azerbajǯana, mihmanašda χala ima или ǯuχda lɨšan čijed χala ima, хотя mi ǯuχda χanimer a, χal ani.Ну huʔuna älgara edemi.",kna_said02
1,v,?,a<r>gɨ-r,a<r>gɨ-r,<2>IN.stay.PFV-CVB,,d-ɨ<r>q'ɨ-jne (HPL-die.PFV-TEMP2)      a<r>gɨ-r (<HPL>stay.PFV-CVB)      sa (one)      r-iǯ (2-self),"Когда они умерли, она осталась одна.",dɨrq'ɨjne argɨr sa riǯ,180724_0081_18-10-18
1,v,?,a<r>gɨ-r,a<r>gɨ-r,<HPL>IN.stay.PFV-CVB,,d-ɨ<r>q'ɨ-jne (HPL-die.PFV-TEMP2)      a<r>gɨ-r (<HPL>stay.PFV-CVB)      sa (one)      r-iǯ (2-self),"Когда они умерли, она осталась одна.",dɨrq'ɨjne argɨr sa riǯ,180724_0081_18-10-18
3,adv,aː,aa;aː,aː,below,,k-ɨˤχa (СONT-strike.IMP)      sa (one)      qwa-d (two-4)      xib-ɨd (three-4)      aa (till)      χei-r (fall-CVB)      siga (leave.IMP),"Два-три раза пырни, до упада",gɨˤχa sa-qwad-xibɨd aa χejir siga,Polina_text_s_Saadi_TextGridlatin
1,*(adv v),aː lukas,alütkür;aː l-ü<t>kü-r,aː l-ü<t>kü-r,down PV-<HPL>fall.PFV-CVB,,"   ha<w>ɨ-r=xa  (<3>do.PFV-CVB(AOR)=ADD)      kašir  (porridge)      mij-a,  (here-EL)      ha<w>ɨ-r=xa  (do<3>.PFV-CVB(AOR)=ADD)      mi-bɨr  (this-PL)      alütkür  (spare)      s-e<t>χɨ-r=xwa. (PV-<HPL>fall.asleep.PFV-CVB(AOR)=ADD)   ",Сделали они сейчас кашу и легли спать.,"Гьawɨr=xa kašir mija, hawɨr=xa mibɨr alütkür setχɨr=xwa. ",kna_2018_17_gljh_1942latin
1,*(adv v),aː suwq'as,a-su<r>q'-a;a: s-u<r>q'-a,aː s-u<r>q'-a,below PV-<2>sit-IMP,,w\i--xa (you.SG-ADD)      saːki-d (calm-ATTR)      qi<r>iš (<F>become.IMP)      a-su<r>q'-a (down-<F>sit-IMP),"Успокойся, садись.","w\i-xa saːkit qiriš, asurq'a ",Magomedshapi_Nina_glossed_23_07latin
1,adv,aː,aa-dɨ;aː-dɨ;adɨ;aːdɨ;aː-dɨ,aː-dɨ,below-ATTR,,wa-d=xa  (you-ERG=ADD)      tine  (yonder(ESS))      aa-dɨ  (below-ATTR)      hejeka  ()      a-d  (be-ATTR)      kašir-a-kan  (porridge-OBL-COM)      kef  (pleasure)      deʔ  (4.drag.IMP)      xur=xwa. (QUOT=ADD),"Ты тоже с кашей, которая там (внизу) в кастрюле, кайфуй",Вad=xa tine adɨ hejeka ad kaširakan kef deʔ xur=xwa.,kna_2018_17_gljh_1942latin
1,adv,aː-uː,aa-uu;aː-uː,aː-uː,around,ТМ: а не над писать две глоссы через дефис?,oxota-ji-s (hunt-obl-dat)      d-ɨxɨ-jne (HPL-go.pfv-temp2)       ()      ʁarčekan-e-r (hunter-obl-erg)      ʁarčekan-e-r (hunter-obl-erg)      du-ruʔu-r=a (HPL-come.ipfv-cvb=be)      mi-d (this-atr)      ʁɨˁrǯ (urus)      aramiš (search)      w-aʔa-r=a (3-do.ipfv-cvb=be)      aa-uu (around)      d-uʁurʁ-ed (HPL-wander-atr)       ()      sa (one)      hile (where)      e<l>č'u-t=xa (<HPL>in.get-atr=add)      xed (water)      raʁa-s (drink-inf),"охотники ходили на охоту, ища тура вокруг они наткнулись на шалаш, и зашли воду выпить",oxotajis dɨxɨjne ʁarčekaner ʁarčekaner duruʔura mid ʁɨˁrǯ aramiš waʔara aa-uu duʁurʁed sa hile elč'utxa xed raʁas,180722_0090
3,n,abdulla,Abdulla;abdulla,abdulla,Abdulla,,GačaX-a-d (outlaw-OBL-GEN)      dur (name)      j-iʔij (1-COP1)      Abdulla (Abdulla)      ješemiš (live)      ruur-i-j (go.IPFV-COP2-PST)      Abdulla (Abdulla)      Abdulla (abdulla)      Gačax (outlaw)      sa (one)      waXt-\i-n-de  (time-OBL-LOC)      sa (one)      naˁXan (evening)      abdulla (abdulla)      quhu-r-a (come.back?-CVB-AUX1)      Xal-a (home-LOC)      abdulla (Abdulla)       Ra\?g (outside)      Reč'-u-r (go(?)-PFV-CVB),Разбойника звали Абдуллажил Абдулла Абдулла разбойникОднажды вечером Абдулла приходит домойАбдулла наружу выходит,GačaXad dur jiʔij Abdulla ješemiš ruurij Abdulla Abdulla Gačax sa waXt\i-nde sa naˁXan Abdulla quhura Xala Abdulla Ra\?g Reč'ur,Magomedshapi_Nina_glossed_23_07latin
1,n,abdulla,Abdulla-ra;abdulla-ra,abdulla-ra,Abdulla-ERG,проверить количество l в абдуле,Xal-a (house-LOC)      gʲaG-\i--r  (look-PFV-CVB)      Abdulla-ra (Abdulla-ERG)      rux-a-r-a (say.IPFV-IPFV-CVB-AUX1),Дома посмотрел. Абдулла говорит,Xala gʲaG\i-r Abdullara ruxara,Magomedshapi_Nina_glossed_23_07latin
1,n,abdulla,abdulla-s,abdulla-s,Abdulla-DAT,,abdulla-s (Abdulla-DAT)      šak  (feeling)       r\i-|x\i--r-a (leave.to.PFV-CVB-be),Абдулла заподозрил,Abdullas šak r\i-|x\i-ra,Magomedshapi_Nina_glossed_23_07latin
1,v,?,abg-ɨ-r,abg-ɨ-r,IN.stay.PFV-CVB,какой класс? по смыслу HPL,muˤɢ-u-kan (village-Obl-COMIT)      abg-ɨ-r (stay-PFV-CVB)      ne (not)      sürgün-diš (kill-NEG)      ne (not)      sa (one)      jiʁ (day)       lakɨr-diš (bother-NEG),"Остались в селении, их не убили и не стали больше мучить",muˤɢukan abgɨr ne sürgündiš ne sa jɨh laɢɨrdiš,Polina_text_s_Saadi_TextGridlatin
2,n,abɨr,abɨrdi-d;abɨr-di-d,abɨr-di-d,respect-OBL-ATTR,нужно переслушать,wɨ (you)      abɨrdi-d (be.respectable-atr)      šuw-dɨ (what-atr)      edemi (man)      i (cop2)      xur=xʷa (quot=add)      bɨtrɨ-d (be.beautiful-atr)      abɨrdi-d (be.respectable-atr)      xur=xʷa (quot=add),"ты человечный вроде бы человек, красивый парень",wɨ abɨrdid šuwdɨ edemi i xurxwa bɨtrɨd abɨrdid xurxwa,kna_babushka
1,n,abɨr,ab\i-r-l\i-;abɨr-lɨ,abɨr-lɨ,honour-ADJ,,xaiš  (request)      haara ()      mi ()      sad ()      kar ()      jii ()      . (.)      ibram=xa (ibram=ADD)      ruxa-r-a (say.IPFV-CVB-AUX1)      bala (many)      muq|-ud  (village-ATTR)      sir (secret)       u|rxu|-d (save.PFV-ATTR)      ab\i-r-l\i- (decent-ADJ)      haja-l\i- (sincere-ADJ)      edemi (man),"Просьбу делаю вам тоже. Ибрам хранит сельские секреты, порядочный, добросовестный человек.","xaiš haara waxda xa. Ibram xa ruxara bala muq|ud sir u|rxud, ab\i-rl\i-, hajal\i- edemi jii ",Magomedshapi_Nina_glossed_23_07latin
1,n,abɨr,abɨrsɨz;abɨr-sɨz,abɨr-sɨz,respect-CAR,,abɨrsɨz (unashamed)      gjaɢa (look.IMP)      mija (here)      huxur (say.PFV)      χaja (consience)      lapdu-j-ne (lose-AUX2-COND)      he-mij (EMPH-this)      ruʔu-r-a (4.come.PFV-CVB-AUX)      huxur (say.PFV)      xa (too),"Бессовестный посмотри говорит когда совесть потерял до этого доходит, говорит",abɨrsɨz gjaɢa mija huχur haˤja lapdujne himij ruʔura huxur xa,Polina_text_s_Saadi_TextGridlatin
1,adj,ačɨx,ač\i-x;ačɨx,ačɨx,open,должен быть увуляр?,rak (door)      h-\i-\i--r (4-do.PFV-CVB)      ač\i-x (open)      h-\i-\i--r (4-do-CVB)      aʔ (inside)      q'irq'-\i--r (come-PFV-CVB)      salam (salam)      h-\i-w-\i--r (4-give-PFV-CVB)      x\i-d\i-l-now-us (woman-OBL-DAT),"Дверь открыла, открыла, он зашел. Поздоровался с женой","rak h\i-\i-r, ačix h\i-\i-r, aʔ q'irq'\i-r. salam h\i-w\i-r x\i-d\i-lnowus ",Magomedshapi_Nina_glossed_23_07latin
1,v,äčuχun,äčuχu-r,äčuχu-r,open-CVB,"точно ли есть такой глагол? почему разные х? все сомнительно;возможно, это стяжение типа ačix wɨɨr",sɨw-ɨmɨ-la-χud (mountain-OBL.PL-IN.EL-???)      raˤq (way)       ()      oktjabɨra-d (october.OBL-ATTR)      eχira-s (end.OBL-DAT)      oktjabɨra-d  (october.OBL-ATTR)      jiɢa-d (midst-ART)      wazɨr-a (month.OBL-IN.ESS)      jɨχɨ-r (4.go.PFV-CVB)      wazɨr-dɨ (month.OBL-ATTR)      jɨχɨ-r (4.go.PFV-CVB)       ()      äčuχu-r (open-CVB)      hile (where)      jiz (снег)      si<d>xu-ne (<4>lay.PFV-COND)      huruʔu-r=a (4.go.IPFV-CVB=be)      pereval (pass),"Дорога через горы до середины октября открыта, потом, когда снег ложится, закрывается",Sɨwɨmɨlaχud raˤq oktjabɨrad eχiras oktjabɨrad jiɢad wazɨra jɨχɨr wazɨrdɨ jɨˤq'ad jiχɨr  äčuχur hile jiz sidxune huruʔura perewal.,kna_said02
1,n,adat,adat,adat,custom,,Нikolaj-dɨ (Nikolay-ATTR)      dewr-in-dɨ (time-Obl-Ad(Es))      Nikolaj (Nikolay)      dewr-in-dɨ (time-Obl-Ad(Es))      Дaʁɨstan-dɨ (Dagestan-Ad(Es))       ()      a-ni jiʔi (be-CVB 4.be.IPFV)      sa (one)       ()      adat (custom),Во времена Николая в Дагестане был один обычай,"Nikolajdɨ dewrindɨ, Nikolaj dewrindɨ, Daʁɨstandɨ ani jiʔi sa aˤdat ",Polina_text_s_Saadi_TextGridlatin
1,v,?,adgɨ,adgɨ,?,"не знаю, что это",haj-a (there-el)      ʁa-ʔ (out-lat)      ʁ-eč'u-r (out-move-cvb)      mi (this)      gad-ije-ra (guy-obl-erg)      ruxʷa-r=a (say.pfv-cvb=be)      za-d (I.obl-erg)      hɨ-dɨ-nuw-da (?-atr-obl-apud(ess))      χudku-r (ask-cvb)      his (why)      mi-sa (this-mnr)      hišitixu-jne (?-temp2)      ha-nuw (that-obl)      huxu-r (say.ipfv-cvb)      ruxa-r=a (say.pfv-cvb=be)      iz-dɨ (I.atr-atr)      χatir (offend)      adgɨ (?)      hɨʔɨ-d (do.pfv-atr)      duqun (large)      iz-dɨ (I.atr-atr)      χɨnimer (children)      haʔa (do.imp)      qe-ʁ-ǯ-e<d>qu-d (re-out-neg-<npl>let.go-atr)      duqun (large)      ha (that)      uble-ši (wolf.obl-obl.pl)      ha-biš-is (that-obl.pl-dat)      aman (safe)      hɨwɨ-s-dɨš (give-inf-no),"оттуда вышел этот парень и спросил у женщины: почему так случилось, и она ответила: пока они будут меня оскорблять и не оставят моих детей в покое, эти волки им покоя не дадут",haja ʁaʔ (ʁ)reč'ur mi gadijera ruxara zad hɨdɨnuwda xudkur his misa hišitixujne hanuwxa huxur ruxara izdɨ χatir adgɨd hɨʔɨ duqun izdɨ χinimer haʔa geʁǯedqud duqun ha ubleši habišis aman hɨwɨsdiš,180722_0090
1,n,aferin,aferin-waldɨ;aferin-wal-dɨ,aferin-waldɨ,thank-ABSTR,,()      Salman (Salman)      baba (grandfather)       ()      jiɣc'ɨr-a-χdɨ (seventy-OBL-LOC)      sen (year)      ješemiš (life)      ruʔu-r=a (4.go.IPFV-CVB=be)       ()      ǯü-dɨ (REFL.OBL-ATTR)      ʔuˤmur (life)      w-uruʔu-r=a (3-go.IPFV-CVB=be)      idda=na (sweet=ADD)       ()      sa (one)      si-now-kan (all-OBL-COMIT)      muhubade (in.a.friendly.way)      huˤrmet-di-kan (respect-OBL-COMIT)      ? ()      ješemiš (life)      d-uruʔu-r=a (HPL-go.IPFV-CVB=be)      haʔa-s (4.do.IPFV-INF)      habi-š-dɨ (he.PL-OBL.PL-ATTR)       ()      ʔuˤmur (life)      muˤɢw-a (village-LOC)      la<w>urda-r=a (PV<3>end.IPFV-CVB=be)      sinbi-š-dɨ (all.PL.OBL.PL-ATTR)      ʁiʔiʁ-a-d (today-OBL-ATTR)      jɨˤʁ-χɨr (day-?)      jɨˤʁ (day)       ()      aferin-waldɨ (thank-ABSTR)      w-ɨlc'a-r=a (3-give.IPFV-CVB=be)      Hawalaj (Havalay)      babai-s (granny.OBL-DAT)      na (AND)      Miχri (Mihri)      babai-s (granny.OBL-DAT),"Салман баба, под семьдесят живет, его жизнь проходит сладко, друг с другом, дружно, уважительно, таких людей жизнь в селе заканчивается, спасибо отдается Авалай бабушке и Михри бабушке","A Salman baba, jiɣc'ɨraχda sen ješemiš ruʔura, ǯüda uˤmur wuruʔura iddana sasunuwɨkan muhubade hurmɨdikan ješemiš duruʔura haʔasadbišdɨ, uˤmur muˤɢwa lawurdara sin bišdɨ ʁiʔiʁad jiʁχɨr jɨˤr aferin wɨrc'ara Awalaj babaisna Miχri babais ",kna_muhammadshafi05_1_6_18latin
1,v,aɣ daʔas,aɣ d-ɨʔɨ-r,aɣ d-ɨʔɨ-r,away HPL-do.PFV-CVB,что за первая часть?,xidig-ɨ-r (выгонять-PFV-CVB)       ()      muˤɢ-a (village-Ab.El)       ()      aɣ d-ɨʔɨ-r (away HPL-do.PFV-CVB)      ehelьǯu-r (move-CVB)      mij (here)      ji<d>q'-ɨ-r (<HPL>come-PFV-CVB),"Из селения выселили, мы пришли сюда",hidigɨr muˤɢa ahdɨʔɨr ehelьč'ur mij jidk'ɨr,Polina_text_s_Saadi_TextGridlatin
1,v,aʁabχun,aha<b>χu-d,aha<b>χu-d,<4>round.slice.PFV-ATTR,"непонятно, что за глагол",aha<b>χu-d (<4>round.slice-ATTR)      kar (thing)      ruʔu-r=a (4.become.IPFV-CVB=be)      ha-d (that-ATTR)      специально ()      gɨrcbɨr (varenik)      t'ile (dough)       ()      gɨrcbɨr (varenik-PL)      haʔa-ga (4.do.IPFV-TEMP)      šuw-ga-d-i (what-TEMP-ATTR-COP2)      haʔa-ga (4.do.IPFV-TEPM)      aʁa<b>χu-d (<4>round.slice-ATTR),"Есть такое приспособление, чтобы вырезать кружочки, специальное для вареников и для чего-нибудь еще.",aʁabχud kar ruʔura had специально gɨrcbɨr t'ile gɨrcbɨr haʔaga šuwgadi haʔaga ahabχud,kna_maisarat02.textgrid
1,n,alfawit,alfawit,alfawit,alphabet[R],,dars-bɨr (lesson-PL)      wɨlc'a-r=a (teach.IPFV-CVB=be)      начальных ()      klassa-s (class.OBL-DAT)      šuw-na (what-ADV)       siftä (earlier)      dars-bɨr (lesson-PL)      ruʔu-r=a (4.become.IPFV-CVB=be)      kiχi-s (write-INF)      χaˤr (learning)      haʔa-r-i (4.do.IPFV-CVB-COP2)      q'aʁarus (count-INF)      χaˤr (learning)      haʔa-r-i (4.do.IPFV-CVB-COP2)      alfawit (alphabet)      χaˤr (learning)      haʔa-r-i (4.do.IPFV-CVB-COP2),"Раньше как учили детей начальных классов: читать, считать, алфавит учили.",Darsbɨr wɨlc'ara начальных klassas šuwna siftä darsbɨr ruʔura kiχis χaˤr haʔari q'aʁarus χaˤr haʔari alfawit χaˤr haʔari.,kna_said02
1,n,allah,Allaχ;allah,allah,Allah,,xej (hey)      Allaχ (Allah)      χɨl (arm)      wad (2SG.ERG)      za-la (1SG.Obl-El)      lep'e-wa-ʔa (remove-PTCL-AUX),"Хэй, Аллах, (руки убери с меня) прости меня","hej Allaχ, χɨl wad zala lep'ewaʔ ",Polina_text_s_Saadi_TextGridlatin
1,n,allah,Аllah-a-d;Allah-ad;allah-a-d,allah-a-d,Allah-OBL-ATTR,,"   njah  (???)      ha-nɨwɨ-s (that-OBL.H-DAT)      za-d  (I-ERG)      t'it'  (nipple)      ki-wɨ-s-dɨ  (SURF-give(?)-INF-ATTR)      χotja  (although[R])      sa  (one)      hadan  (???)      za-d  (I-ERG)      uˤχuˤ-n  (1.keep.PFV-MSD)      badana,  (for)      sa  (one)      elig  (???)      q-ɨʔɨ-n  (RE-1.do.PFV-MSD)      badana,  (for)      ha-d  (that-ATTR)      χɨnɨχ  (child)      za-d,  (I-ERG)      we-χ (you.PL-SUB.ESS)      we-χda=xa  (you.PL-SUB.ESS=ADD)      šudda  (how.much)      kirx (SURF-??? (= просить))      minnat  (request)      w-aʔa-r=a  (3-do.IPFV-CVB-be)      kar  (thing)      hɨkɨsɨ  (4.become-INF-FUT)      xur=xa,  (QUOT=ADD)      sa  (one)      hadan  (???)      uˤχuˤ-s  (1.keep-INF)      za-d  (I-ERG)      zɨ=xa  (I=ADD)      uˤ<r>uˤχuˤ-n  (<2>keep.PFV-MSD)      badana  (for)      xur=xa (QUOT=ADD)      za-d  (I-ERG)      ha-d  (that-ATTR)      χa-ʁu-r=xa, (PV-1.throw.PFV-CVB=ADD)      Аllah-a-d  (Allah-OBL-ATTR)      uliχda  (in.front)      iz-dɨ  (I.OBL-ATTR)      jüzüqara  (sinner)      jiʔi  (COP2(?))      xur=xa. (QUOT=ADD)   ","Вместо того чтобы его кормить, лучше я за старшим присмотрю, сколько можно у вас просить, умолять, чтобы одного сохранить и себя сохранить я его бросила, перед Богом я согрешила(?).","njah hanɨ wɨs zad t'it' kiwɨsdɨ χotja sa hadan zad uˤχuˤn badana, sa elig qɨʔɨn badana, had χɨnɨχ zad, weχda xa šudda kirx... minnat waʔara kar hɨkɨsɨ xurxa, sa hadan uˤχuˤs zad zɨxa uˤruˤχuˤn badana xur xa zad had χaʁur xa, Allahad uliχda izdɨ jüzü qara jiʔi xurxa ",muhammad_shafi_4latin
1,n,allah,Allah-a-ra;allah-a-ra,allah-a-ra,Allah-OBL-ERG,,Allah-a-ra (Allah-OBL-ERG)      wergič (?)      w-\i--d-kald\i- (1-give-PTCP-like)      edemi (man)      allah-a-ra (Allah-OBL-ERG)       h\i-w\i--d (give.PFV-ATTR)      za-s (I.OBL-DAT)      rizq' (wellfare),"Человек, которому Аллах дал бесстрашиеБогом данное мне богатство (благо)",Allahara wergič w\i-dkald\i- edemi allahara h\i-w\i-d zas rizq',Magomedshapi_Nina_glossed_23_07latin
3,vb,aman,aman,aman,safe,,aman (safe)      ǯ-iwɨ-r=a=xa (neg-give.pfv-cvb=be=add)      ʁa-ʔ (out-lat)      hɨxɨ-d (go.pfv-atr)      hal-ɨs (who.obl-dat)      č'abal-eš-is (sheep-obl.pl-dat)      mij-a (here-el)      sim-bɨr (all-pl)      jaʁmɨš (meet)      du-ruʔu-r=a (hpl-become.ipfv-cvb=be)      iǯilas (label)      w-aʔa-r=a (3-do.ipfv-cvb=be)      mi (this)      q'as-dɨ (be.old-atr)      q'ojx-dɨ (be.elder-atr)      jaʁmɨš (meet)      haʔa-r=a (1.do.ipfv-cvb=be)      hiʔi-s (?-inf)      mi (this)      ubl-eši-r (wolf.pl-obl.pl-erg)      aman (safe)      ǯ-iwɨlca-d-i-jden (neg-give.ipfv-atr-cop2-irr)      mi (this)      muˁqʷ-a-dɨ (village-obl-atr)      dawar-aš-is (cow-obl.pl-dat)      č'abɨl-eš-is (sheep-obl.pl-dat)      haj-a (there-el)      ʁa-ʔ (out-lat)      ʁ-eč'u-r (out-move-cvb)      mi (this)      gad-ije-ra (guy-obl-erg)      ruxʷa-r=a (say.pfv-cvb=be)      za-d (I.obl-erg)      hɨ-dɨ-nuw-da (?-atr-obl-apud(ess))      χudku-r (ask-cvb)      his (why)      mi-sa (this-mnr)      hišitixu-jne (?-temp2)      ha-nuw (that-obl)      huxu-r (say.ipfv-cvb)      ruxa-r=a (say.pfv-cvb=be)      iz-dɨ (I.atr-atr)      χatir (offend)      adgɨ (?)      hɨʔɨ-d (do.pfv-atr)      duqun (large)      iz-dɨ (I.atr-atr)      χɨnimer (children)      haʔa (do.imp)      qe-ʁ-ǯ-e<d>qu-d (re-out-neg-<npl>let.go-atr)      duqun (large)      ha (that)      uble-ši (wolf.obl-obl.pl)      ha-biš-is (that-obl.pl-dat)      aman (safe)      hɨwɨ-s-dɨš (give-inf-no),"не даёт покоя тем баранам, которые выходят""здесь все собираются, старые, старшие, и обсуждают вопрос, почему волки не дают покоя коровам, овцам этого села""""оттуда вышел этот парень и спросил у женщины: почему так случилось, и она ответила: пока они будут меня оскорблять и не оставят моих детей в покое, эти волки им покоя не дадут""",aman ǯiwɨraxa ʁaʔ hɨxɨd halɨs č'abalešismija simbɨr jaʁmɨš duruʔura iǯilas waʔara mi q'asdɨ q'ojxdɨ jaʁmiš haʔara hiʔis mi ublešir aman ǯiwɨlcadijden mi muˁqadɨ dawarašis č'abɨlešishaja ʁaʔ (ʁ)reč'ur mi gadijera ruxara zad hɨdɨnuwda xudkur his misa hišitixujne hanuwxa huxur ruxara izdɨ χatir adgɨd hɨʔɨ duqun izdɨ χinimer haʔa geʁǯedqud duqun ha ubleši habišis aman hɨwɨsdiš,180722_0090
